Code,UTLA,NHSRegion,Region,Timestamp,Confirmed
E06000052,Cornwall and Isles of Scilly,South West,South West,2020-04-01T23:59:00+01:00,99
E06000047,County Durham,North East,North East,2020-04-01T23:59:00+01:00,131
E08000026,Coventry,West Midlands,West Midlands,2020-04-01T23:59:00+01:00,127
E09000008,Croydon,London,London,2020-04-01T23:59:00+01:00,380
E10000006,Cumbria,North West,North West,2020-04-01T23:59:00+01:00,425
E06000005,Darlington,North East,North East,2020-04-01T23:59:00+01:00,24
E06000015,Derby,East Midlands,East Midlands,2020-04-01T23:59:00+01:00,143
E10000007,Derbyshire,East Midlands,East Midlands,2020-04-01T23:59:00+01:00,307
E10000008,Devon,South West,South West,2020-04-01T23:59:00+01:00,128
E08000017,Doncaster,Yorkshire and The Humber,Yorkshire and The Humber,2020-04-01T23:59:00+01:00,79
E06000059,Dorset,South West,South West,2020-04-01T23:59:00+01:00,62
E08000027,Dudley,West Midlands,West Midlands,2020-04-01T23:59:00+01:00,157
E09000009,Ealing,London,London,2020-04-01T23:59:00+01:00,350
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Yorkshire and The Humber,2020-04-01T23:59:00+01:00,46
E10000011,East Sussex,South East,South East,2020-04-01T23:59:00+01:00,84
E09000010,Enfield,London,London,2020-04-01T23:59:00+01:00,240
E10000012,Essex,East of England,East of England,2020-04-01T23:59:00+01:00,420
E08000037,Gateshead,North East,North East,2020-04-01T23:59:00+01:00,80
E10000013,Gloucestershire,South West,South West,2020-04-01T23:59:00+01:00,172
E09000011,Greenwich,London,London,2020-04-01T23:59:00+01:00,205
E09000012,Hackney and City of London,London,London,2020-04-01T23:59:00+01:00,221
E06000006,Halton,North West,North West,2020-04-01T23:59:00+01:00,32
